split,env,section,platform,modality,required,count,missing_count,orphan_count
train,Logistic_site,General_LogisticSite,rack_small_A5_02,normals/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,bbox/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,inst_seg_image/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,inst_seg_mapping/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_xyz/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_rgb/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_inst_seg/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_inst_seg_mapping/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,rgb/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,depth/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,normals/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,bbox/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,inst_seg_image/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,inst_seg_mapping/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_xyz/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_rgb/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_inst_seg/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,pointcloud_inst_seg_mapping/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,rack_small_A7_01,conf,True,3751,0,0
train,Logistic_site,General_LogisticSite,rack_small_A7_01,scene_meta,True,3751,0,0
train,Logistic_site,General_LogisticSite,rack_small_A7_01,pre_grasp,True,3751,0,0
train,Logistic_site,General_LogisticSite,rack_small_A7_01,output_grasp,True,515,3236,0
train,Logistic_site,General_LogisticSite,rack_small_A7_01,rgb/top_view_camera,True,3752,0,1
